Id,Age,Rank,Year,Time,Pace,Sex
1,30,1263,2016,15300,584,1
2,60,2289,2016,18342,701,1
3,30,2276,2016,18274,698,0
4,35,670,2015,13977,533,1
4,35,2390,2016,18810,718,1
5,40,2608,2016,19714,753,0
5,42,3086,2014,20594,786,0
5,38,2455,2010,19744,753,0
5,36,2343,2008,19729,753,0
5,37,2415,2009,19647,749,0
5,35,2002,2007,19572,747,0
5,39,3140,2011,19704,752,0
5,34,2013,2006,19772,754,0
5,40,3329,2012,19715,752,0
6,45,1845,2016,16943,647,1
7,42,821,2014,14683,560,1
7,40,384,2016,12963,495,1
8,30,912,2016,14354,548,0
9,52,2023,2014,17376,663,1
9,50,1637,2012,15671,598,1
9,50,1281,2015,15606,595,1
9,50,2620,2016,19788,756,1
10,25,1934,2016,17173,656,1
11,41,3260,2014,21525,821,0
11,40,2372,2015,19673,750,0
11,40,2055,2016,17507,669,0
12,20,954,2016,14443,552,0
12,30,588,2016,13575,519,0
13,30,21,2016,10713,409,1
14,25,934,2016,14392,550,0
15,40,2332,2016,18529,708,1
15,33,2032,2008,18143,692,1
15,40,2366,2015,19661,750,1
15,37,2523,2012,17485,667,1
15,36,2706,2011,18074,689,1
16,45,1026,2015,14915,569,1
16,42,1654,2009,16654,635,1
16,45,1196,2012,14884,568,1
16,44,1301,2011,14775,563,1
16,43,1021,2010,15340,585,1
16,45,1014,2016,14617,558,1
17,50,886,2016,14314,547,1
18,50,3007,2016,24545,937,1
18,50,854,2015,14415,550,1
19,25,2530,2016,19381,740,0
20,30,55,2016,11067,423,0
21,40,993,2016,14548,556,1
22,44,1598,2011,15434,589,0
22,45,1150,2016,14984,572,0
23,25,1478,2016,15961,610,0
23,25,933,2015,14606,557,0
24,30,552,2016,13486,515,0
25,50,790,2016,14095,538,1
26,35,1670,2016,16447,628,1
27,40,1302,2016,15427,589,0
28,30,2478,2016,19169,732,0
29,30,2429,2016,18993,725,1
30,45,2647,2016,19901,760,1
31,45,372,2015,13110,500,1
31,45,313,2016,12657,484,1
32,36,1685,2011,15632,596,1
32,35,2996,2016,24194,924,1
33,30,949,2016,14430,551,0
34,45,2763,2016,20820,795,1
35,45,326,2016,12720,486,1
36,55,2537,2016,19427,742,1
37,45,1062,2016,14780,565,1
37,45,1888,2015,17373,663,1
