,Id,Age,Rank,Year,Time,Pace,Sex,Temp,halfMarathonTime,yrsSinceLast,raceCount,prevRaceCount,nTime,nPace,nRank
0,1,30,1263,2016,15300,584,1,12.2,,0,1,0,0.414313854235,0.24449298434,0.244422890398
1,2,60,2289,2016,18342,701,1,12.2,,0,1,0,0.751149047932,0.357113768465,0.357904946654
2,3,30,2276,2016,18274,698,0,12.2,,0,1,0,0.746881155614,0.354596275591,0.354995150339
3,4,35,670,2015,13977,533,1,11.7,,0,2,0,0.243095930233,0.211674641148,0.211634904714
4,4,35,2390,2016,18810,718,1,12.2,,1,2,1,0.784307288247,0.374440042945,0.374393792435
5,5,40,2608,2016,19714,753,0,12.2,,2,9,8,0.855876559422,0.407907889378,0.408341416101
6,5,40,3086,2014,20594,786,0,22.8,,2,9,7,0.871222818413,0.4901433332,0.490526315789
7,5,35,2455,2010,19744,753,0,21.7,,1,9,4,0.851492019431,0.404551909709,0.404505386876
8,5,35,2343,2008,19729,753,0,17.8,,1,9,2,0.889479680972,0.465908167412,0.466453674121
9,5,35,2415,2009,19647,749,0,14.4,,1,9,3,0.871480144404,0.426647767541,0.426197458456
10,5,35,2002,2007,19572,747,0,22.2,,1,9,1,0.7871754524,0.392218790129,0.393084622384
11,5,35,3140,2011,19704,752,0,11.1,,1,9,5,0.887475261521,0.477658751171,0.478121664888
12,5,30,2013,2006,19772,754,0,21.1,,0,9,0,0.812272910779,0.379004028796,0.379220779221
13,5,40,3329,2012,19715,752,0,20.6,,1,9,6,0.85049833887,0.462385911302,0.462592202318
14,6,45,1845,2016,16943,647,1,12.2,,0,1,0,0.605384110309,0.305320054792,0.305528612997
15,7,40,821,2014,14683,560,1,22.8,,0,2,0,0.231573001977,0.252820492231,0.252631578947
16,7,40,384,2016,12963,495,1,12.2,,2,2,1,0.12573867367,0.157972677798,0.158098933075
17,8,30,912,2016,14354,548,0,12.2,,0,1,0,0.299080761655,0.209470215838,0.209505334627
18,9,50,2023,2014,17376,663,1,22.8,,2,4,1,0.571025134143,0.36094270687,0.361052631579
19,9,50,1637,2012,15671,598,1,20.6,,0,4,0,0.418093534373,0.299786900406,0.300316122234
20,9,50,1281,2015,15606,595,1,11.7,,1,4,2,0.46511627907,0.274028708134,0.273821464393
21,9,50,2620,2016,19788,756,1,12.2,,1,4,3,0.859816152331,0.410647513976,0.411251212415
22,10,25,1934,2016,17173,656,1,12.2,,0,1,0,0.634602757715,0.313835104217,0.31425800194
23,11,40,3260,2014,21525,821,0,22.8,,0,3,0,0.920361479808,0.527522383266,0.527368421053
24,11,40,2372,2015,19673,750,0,11.7,,1,3,1,0.861555232558,0.429703349282,0.429287863591
25,11,40,2055,2016,17507,669,0,12.2,,1,3,2,0.674326986211,0.326200436859,0.326867119302
28,13,30,21,2016,10713,409,1,12.2,,0,1,0,0.00656598818122,0.0746732812558,0.074684772066
29,14,25,934,2016,14392,550,0,12.2,,0,1,0,0.306303348654,0.210877050091,0.211445198836
30,15,40,2332,2016,18529,708,1,12.2,,1,5,4,0.765265922521,0.364036873866,0.364694471387
31,15,30,2032,2008,18143,692,1,17.8,,0,5,0,0.77136346373,0.401462819992,0.401490947817
32,15,40,2366,2015,19661,750,1,11.7,,3,5,3,0.859375,0.429244019139,0.429287863591
33,15,35,2523,2012,17485,667,1,20.6,,1,5,2,0.644518272425,0.37272325198,0.373024236038
34,15,35,2706,2011,18074,689,1,11.1,,3,5,1,0.764772405994,0.41126634353,0.410885805763
35,16,45,1026,2015,14915,569,1,11.7,,3,6,4,0.372456395349,0.247578947368,0.247743229689
36,16,40,1654,2009,16654,635,1,14.4,,0,6,0,0.596750902527,0.31500615465,0.314760508309
37,16,45,1196,2012,14884,568,1,20.6,,1,6,3,0.305392282136,0.268143621085,0.268703898841
38,16,40,1301,2011,14775,563,1,11.1,,1,6,2,0.367543115635,0.276892998249,0.276414087513
39,16,40,1021,2010,15340,585,1,21.7,,1,6,1,0.353920888272,0.239965617759,0.239960822723
40,16,45,1014,2016,14617,558,1,12.2,,1,6,5,0.332567301379,0.219206989745,0.219204655674
41,17,50,886,2016,14314,547,1,12.2,,0,1,0,0.290544977019,0.207989337677,0.208535402522
42,18,50,3007,2016,24545,937,1,12.2,,1,2,1,0.986868023638,0.586760949243,0.586808923375
43,18,50,854,2015,14415,550,1,11.7,,0,2,0,0.309956395349,0.228440191388,0.228686058175
44,19,25,2530,2016,19381,740,0,12.2,,0,1,0,0.830269205515,0.39557957869,0.395732298739
45,20,30,55,2016,11067,423,0,12.2,,0,1,0,0.0177281680893,0.0877790529784,0.0882638215325
46,21,40,993,2016,14548,556,1,12.2,,0,1,0,0.325673013789,0.216652474918,0.217264791465
47,22,40,1598,2011,15434,589,0,11.1,,0,2,0,0.451512581284,0.303735082074,0.304162219851
48,22,45,1150,2016,14984,572,0,12.2,,5,2,1,0.377216021011,0.23279404687,0.232783705141
49,23,25,1478,2016,15961,610,0,12.2,,1,2,1,0.484898227183,0.268964495946,0.269641125121
50,23,25,933,2015,14606,557,0,11.7,,0,2,0,0.338662790698,0.235751196172,0.235707121364
51,24,30,552,2016,13486,515,0,12.2,,0,1,0,0.180892974393,0.17733515975,0.17749757517
52,25,50,790,2016,14095,538,1,12.2,,0,1,0,0.259028233749,0.199881529747,0.199806013579
53,26,35,1670,2016,16447,628,1,12.2,,0,1,0,0.547931713723,0.286957165599,0.287099903007
54,27,40,1302,2016,15427,589,0,12.2,,0,1,0,0.427117531188,0.2491947725,0.249272550921
55,28,30,2478,2016,19169,732,0,12.2,,0,1,0,0.813197636244,0.387730924438,0.387972841901
56,29,30,2429,2016,18993,725,1,12.2,,0,1,0,0.7971109652,0.381215060531,0.381183317168
57,30,45,2647,2016,19901,760,1,12.2,,0,1,0,0.868680236376,0.41483099478,0.415130940834
